"","type","category","contrast","id","name","formula","flag","log2FoldChange","padj","label","bar_start","bar_stop","bar_label","bar_y"
"39","all","type","digesta_v_tissue","RP_pos_189_10231a1_531",NA,NA,"good_msms",1.54384679857563,4.55165186072429e-05,"RP_pos_189_10231a1_531
not annotated","digesta","tissue","1.54 ***",15.9714046380228
"40","all","type","digesta_v_tissue","RP_pos_190_10732a3_623",NA,NA,"good_msms",4.78035830050608,2.4339422860153e-08,"RP_pos_190_10732a3_623
not annotated","digesta","tissue","4.78 ***",16.7126286359466
"41","all","type","digesta_v_tissue","RP_pos_191_08466a4_104",NA,NA,"good_msms",-1.9607862625107,0.0127415007692752,"RP_pos_191_08466a4_104
not annotated","digesta","tissue","-1.96 *",18.0238428113428
"42","all","type","digesta_v_tissue","RP_pos_191_1069a5_691",NA,NA,"good_msms",-1.1740601357847,0.0220146849990934,"RP_pos_191_1069a5_691
not annotated","digesta","tissue","-1.17 *",16.211856508741
"43","all","type","digesta_v_tissue","RP_pos_192_06552a3_873","5-Hydroxyindoleacetic acid","C10H9NO3","good_msms",-1.06549667713976,0.0243546158289977,"RP_pos_192_06552a3_873
5-Hydroxyindoleacetic acid","digesta","tissue","-1.07 *",22.0256404542653
"44","all","type","digesta_v_tissue","RP_pos_192_06931a2_789","N-Acetyl-DL-methionine","C7H13NO3S","good_msms",2.14249464461002,1.12269645343616e-05,"RP_pos_192_06931a2_789
N-Acetyl-DL-methionine","digesta","tissue","2.14 ***",18.7089279624902
"45","all","type","digesta_v_tissue","RP_pos_193_06883a1_201",NA,NA,"good_msms",7.01775205430985,8.92488588808365e-07,"RP_pos_193_06883a1_201
not annotated","digesta","tissue","7.02 ***",20.193242459275
"46","all","type","digesta_v_tissue","RP_pos_193_12231a4_358",NA,NA,"good_msms",-1.56754169698284,0.0147584791840018,"RP_pos_193_12231a4_358
not annotated","digesta","tissue","-1.57 *",19.3788056819787
"47","all","type","digesta_v_tissue","RP_pos_194_08122a3_587","Phenylacetylglycine put","C10H11NO3","good_msms",5.36748306780377,0.0131871570056105,"RP_pos_194_08122a3_587
Phenylacetylglycine put","digesta","tissue","5.37 *",21.8668524198179
"48","all","type","digesta_v_tissue","RP_pos_200_05528a2_368",NA,NA,"good_msms",-1.07746574672328,0.0115593231034414,"RP_pos_200_05528a2_368
not annotated","digesta","tissue","-1.08 *",17.586661731877
"49","all","type","digesta_v_tissue","RP_pos_200_12785a5_467",NA,NA,"good_msms",-1.5832408135886,0.000270787868738106,"RP_pos_200_12785a5_467
not annotated","digesta","tissue","-1.58 ***",17.5190148108483
"50","all","type","digesta_v_tissue","RP_pos_201_05423a5_805",NA,NA,"good_msms",-1.0611374216757,8.62125752454263e-05,"RP_pos_201_05423a5_805
not annotated","digesta","tissue","-1.06 ***",17.3351988170321
"51","all","type","digesta_v_tissue","RP_pos_201_15999a4_845",NA,NA,"good_msms",3.63049437354368,0.00020087828629562,"RP_pos_201_15999a4_845
not annotated","digesta","tissue","3.63 ***",19.544645081342
"52","all","type","digesta_v_tissue","RP_pos_202_04729a3_167",NA,NA,"good_msms",5.58298374681585,3.22991204873279e-07,"RP_pos_202_04729a3_167
not annotated","digesta","tissue","5.58 ***",18.8948250872118
"53","all","type","digesta_v_tissue","RP_pos_202_14339a3_037",NA,NA,"good_msms",-1.15450183744232,0.0121689258238395,"RP_pos_202_14339a3_037
not annotated","digesta","tissue","-1.15 *",15.5332834747434
"54","all","type","digesta_v_tissue","RP_pos_203_13931a2_086","AL put",NA,"good_msms",3.67576920379013,0.00743349403444476,"RP_pos_203_13931a2_086
AL put","digesta","tissue","3.68 **",21.5508320700272
"55","all","type","digesta_v_tissue","RP_pos_205_09752a2_497","D-Tryptophan","C11H12N2O2","good_msms",3.34637870956955,1.90463086127639e-08,"RP_pos_205_09752a2_497
D-Tryptophan","digesta","tissue","3.35 ***",24.8439799464263
"56","all","type","digesta_v_tissue","RP_pos_207_04994a1_547",NA,NA,"good_msms",2.03825272787864,0.000524376074524698,"RP_pos_207_04994a1_547
not annotated","digesta","tissue","2.04 ***",14.9344099384383
