,X1_hostT
LOC110260025,-0.08711449952869665
MYB,-0.24163687934833317
HBS1L,-0.11720320457625363
ALDH8A1,-2.748831739664758e-32
LOC110260031,-0.02366657267887756
LOC110260032,0.18706872464948837
SGK1,0.11140705739872334
SLC2A12,-0.0570434679918907
TBPL1,-0.16976016034777844
TCF21,-0.030640081658322556
EYA4,-0.09311998904056723
LOC106507477,0.21263941179477364
LOC102166614,0.02492395357695891
RPS12,-0.09350621837136004
SLC18B1,-0.09941532269074282
VNN2,-0.19437161534320757
VNN3,-0.08445817939373679
VNN1,-0.15382646682756457
TAAR1,0.1657699997151189
STX7,-0.033640815654171964
LOC110260060,0.07426037585646528
MOXD1,0.02908147429083628
CTGF,0.14400382877982076
ENPP1,-0.09989836005675451
ENPP3,-0.0004909539707859305
MED23,-0.10760188512740289
ARG1,0.0708326145457863
LOC106508846,-2.748831739664758e-32
AKAP7,0.11966111564376879
LOC106508847,-0.004029701293740952
EPB41L2,-0.1852036612221244
SMLR1,0.11780678125484673
TMEM200A,-0.01443034014407392
SAMD3,-0.053754358830932894
L3MBTL3,-0.08287279913164773
TMEM244,0.22829597774571142
ARHGAP18,-0.11831653403525207
LOC106508849,0.21583629389267228
LAMA2,-0.002763254315370292
LOC110260185,-0.04775822046797854
PTPRK,0.014727317913577329
LOC110256645,-0.07116472418546814
THEMIS,-0.13136422066058526
LOC100512146,-0.1307564656922255
SOGA3,0.04369658202861573
KIAA0408,-0.06280111429828031
ECHDC1,0.07639431508337914
RNF146,0.017699373252491546
RSPO3,-0.2271187699123922
LOC110260187,0.0020676770796499433
CENPW,-0.21079996707520754
LOC106508854,0.050609632972897514
TRMT11,-0.14334317610758412
HINT3,-0.09030655561664694
NCOA7,-0.16061470032217265
LOC110260188,-0.08798250348695891
HEY2,-0.10287100848858662
LOC110260189,-0.03125344356475815
HDDC2,-0.05027630614747156
TPD52L1,-0.16752742317428082
RNF217,0.041895218959874664
NKAIN2,0.09594710627304387
LOC106508857,0.09359234563023383
TRDN,-0.14219698630086738
LOC102166321,-0.14219698630086738
CLVS2,-0.1492887001139377
SMPDL3A,-0.01932581585920483
FABP7,-0.0727531489819779
PKIB,0.021712729162623512
LOC102157594,-2.748831739664758e-32
SERINC1,0.023126383665691225
HSF2,0.160449398632508
LOC110260218,-0.12745401182336283
LOC102158650,-0.008803938504496709
GJA1,-0.17698376851288308
TBC1D32,0.0226016992832401
LOC106507559,-0.0468466491444748
MAN1A1,0.030148204917593707
FAM184A,0.04369658202861572
MCM9,-0.13130240912210003
ASF1A,-0.22027678394525385
LOC110260244,-0.16692120278874872
LOC110260246,0.12068658569623479
CEP85L,-0.1584475510236792
PLN,0.0974045648283509
SLC35F1,-0.16887724483125277
LOC110260250,-0.07124475791886273
NUS1,0.14973484174422655
LOC100520342,-0.05145461353915806
GOPC,-0.11462292673898297
DCBLD1,-0.06805382687168351
ROS1,-0.1214896470010032
LOC110260270,-2.748831739664758e-32
VGLL2,-0.03120724291162242
RFX6,-0.0732811553258236
LOC110260274,0.1416350838322983
GPRC6A,-2.748831739664758e-32
FAM162B,0.13523208298279377
LOC100523874,-0.16113857232246087
KPNA5,-0.24485203613223672
ZUFSP,0.14010192430084345
RSPH4A,-2.748831739664758e-32
LOC102160776,-0.2187793666767321
LOC106508867,-0.04525269843930463
LOC102161201,0.1993428086433131
PTP4A1,-0.08556232820257181
PHF3,0.04447059615292315
EYS,-0.11688266236189834
LOC106508869,-0.14495641376084256
LOC110259411,-0.04775822046797853
LOC110256955,-0.14459582075580749
LMBRD1,-0.0871269865474274
LOC110260294,-2.748831739664758e-32
COL19A1,-0.19991560147102913
COL9A1,0.18901364442880575
FAM135A,0.018907510696139045
SMAP1,0.026258894494666535
B3GAT2,0.21355865204188942
OGFRL1,-0.1477597748868276
LOC102157778,-0.04091829275358999
MIR30C-2,-0.04684664914447478
MIR30A,0.21522560797214801
RIMS1,-0.021548887293407384
LOC106508874,0.23862085145085518
KCNQ5,-0.2207876602811541
LOC100511846,0.005189860101003793
DPPA5,-0.12745401182336283
KHDC3L,-2.748831739664758e-32
DDX43,-0.04775822046797854
LOC100622980,0.07683425546194463
MRAP2,0.08709455291178476
CEP162,0.003324146794380381
TBX18,0.06771310077113363
LOC102157437,-0.13125974980901506
NT5E,0.02787557789226723
SNX14,-0.039623712654141385
SYNCRIP,-0.2265711958812371
HTR1E,-0.008803938504496713
LOC100151959,-0.02372642310514444
CGA,0.005809929338171829
ZNF292,-0.1912876581428622
GJB7,-0.047758220467978535
SMIM8,-0.02065932961066748
C1H6orf163,0.2386208514508552
CFAP206,-0.13580019996327325
SLC35A1,-0.14835521115333633
RARS2,0.06852416820826598
ORC3,0.022550975981365698
AKIRIN2,-0.10138591342957154
SPACA1,-0.04684664914447478
CNR1,-0.16778834981594573
LOC100739087,0.1153598822011565
RNGTT,-0.18221000376615856
LOC110260329,-0.04775822046797854
PNRC1,-0.13663613228770222
SRSF12,0.026452893246912412
PM20D2,0.10630583446024836
GABRR1,-0.08101107892696358
GABRR2,-0.14159488499895223
UBE2J1,0.1591478590457979
RRAGD,0.08459739645892411
ANKRD6,-0.062322683209023906
LYRM2,-0.15299227371228816
MDN1,-0.226210964424383
CASP8AP2,0.09846946941716421
GJA10,-0.022574087838451606
BACH2,0.001537730035218468
LOC110260365,-0.03640865771193498
LOC102157779,0.04369658202861573
MAP3K7,-0.22430435275517685
LOC106508895,-0.005232100823337749
EPHA7,-0.22393381079990243
LOC106508897,-2.748831739664758e-32
LOC110260379,-0.1430701196742095
MANEA,-0.003481596605125057
LOC110260380,-0.04775822046797853
UFL1,-0.19692327620206723
FHL5,0.13035034345281868
GPR63,-0.06751983230138767
NDUFAF4,0.06732201825629745
LOC110260384,-0.008803938504496706
KLHL32,0.22991809871553395
MMS22L,0.0037771608060000184
LOC102160801,-0.14390931403149865
LOC106508906,0.12065603409654523
POU3F2,0.003152809609201182
FBXL4,0.05832119530717565
FAXC,-0.21847448390609364
COQ3,0.056459251081035944
PNISR,-0.02483813513835524
USP45,-0.044335770787699666
