,Z1
SCML4,-0.13366652512870553
SEC63,0.7085673221530455
OSTM1,0.05264764393043635
NR2E1,-0.375852212631575
SNX3,-0.16951844928426396
AFG1L,-0.29748636963756503
FOXO3,-0.3300721851066545
LOC106508914,-0.20884893223853712
LOC106508915,-0.5344016499665024
ARMC2,0.28929595380047923
LOC110260564,-0.3033337301351249
SESN1,-0.1329793336121264
LOC106508918,0.3025859820341959
CEP57L1,0.38107730296285297
C1H6orf183,0.2965230321405993
LOC110260563,0.04167086567608311
CD164,-0.46409374561786054
LOC102164525,0.19506087109146142
PPIL6,0.4518209514018298
SMPD2,-0.05392993921337513
MICAL1,-0.47479983960550987
ZBTB24,-0.2316289694344882
AK9,0.6183410956321854
FIG4,0.38933728674494456
LOC102157516,0.3072318604526357
WASF1,-0.030810170984977403
CDC40,0.20865180062313926
METTL24,0.13792486606440363
DDO,0.46164563663338637
SLC22A16,-0.49555206887411946
CDK19,-0.4508230554870861
AMD1,-0.499694968476096
GTF3C6,0.6724601180747733
RPF2,0.36325886346945485
SLC16A10,0.5200085766751763
LOC110260579,0.27982070995587405
MFSD4B,0.270717996763985
REV3L,-0.1378113665558972
LOC102167874,-0.045726050413036956
LOC110260596,0.8085897524802989
LOC106508920,-0.7048417661368565
TRAF3IP2,0.4628914611113353
LOC106508921,0.300545589186668
FYN,-0.017558239891261235
LOC106508922,-0.19110259656050077
LOC102158093,-0.3033337301351248
WISP3,-0.382194594117386
LOC106508925,-2.0052555398326342e-31
TUBE1,0.27388413130498646
FAM229B,-0.5023219183080507
LAMA4,0.7229361677738113
LOC102159376,-0.07742519956698923
MARCKS,0.14734991413774645
HDAC2,-0.16813922646960278
HS3ST5,0.6436774880179168
LOC110259440,-0.13762309077142712
LOC110256965,0.6183410956321853
FRK,-0.026101855489345405
NT5DC1,0.25801137131899776
COL10A1,-0.7204176176441988
TSPYL4,0.6064588496434009
TSPYL1,-0.44687936178786836
DSE,0.7173389567418514
FAM26F,0.6979259089195449
TRAPPC3L,0.5031480844780037
FAM26E,0.6990078928090044
FAM26D,-0.07742519956698923
RWDD1,0.7714324291646402
LOC100152150,-2.0052555398326342e-31
LGSN,-0.07742519956698923
RIPPLY2,-0.286850656179493
SNAP91,0.583755115618253
PRSS35,0.6668104511778781
ME1,0.26972558754118964
RWDD2A,-0.098360351736906
PGM3,-0.6556764385934347
DOPEY1,0.4518344280035447
UBE3D,0.4774790171640746
LOC110260698,0.4554174868228702
LOC110260701,0.35314895305567257
TPBG,-0.08581979776801141
IBTK,0.5861471418807576
RPL18,0.4273731035120548
FAM46A,0.24414483704001855
LOC110260709,-2.0052555398326342e-31
BCKDHB,0.3736726589786463
TTK,0.09537397138661033
ELOVL4,0.40234274088611627
SH3BGRL2,0.2555218863407063
LCA5,0.7644349459121607
LOC110260719,0.30133025014112796
HMGN3,0.5562745319767441
PHIP,-0.10871481058930688
IRAK1BP1,0.47963375069732517
LOC106508944,-0.3033337301351248
MEI4,-0.19110259656050077
HTR1B,-0.18861557870575735
IMPG1,-0.2124820710977239
MYO6,-0.4310541553022066
SENP6,0.1522533036395403
FILIP1,0.5786356487110094
TMEM30A,0.35504532463552446
COX7A2,0.2628869317753744
COL12A1,0.7580908577592582
CD109,0.5287439726045182
LOC106506626,0.40114382282063343
SLC17A5,0.10689129688897261
EEF1A1,0.7017261325755815
MTO1,0.008838328754078542
MB21D1,0.4195209368229387
SETBP1,0.6497218982004146
LOC110260756,0.49776139658928487
SLC14A2,0.7836917720802841
SLC14A1,0.4279720327952393
SIGLEC15,0.27742347204983736
EPG5,0.041048965829192985
PSTPIP2,-0.5238824707037575
ATP5A1,-0.2748937640918848
HAUS1,0.49351285493272495
C1H18orf25,-0.05091247566519304
RNF165,0.7233876168405139
LOXHD1,-0.1699151565770724
ST8SIA5,0.5183473075563294
PIAS2,-0.1575550745506885
KATNAL2,-0.17621698728590082
HDHD2,-0.012172593983929947
IER3IP1,0.6051875114991037
SMAD2,-0.25859586104887167
ZBTB7C,0.42600781150345035
CTIF,-0.616448146521049
SMAD7,0.041464657140304756
DYM,0.47207170031176504
C1H18orf32,0.7446935592891939
RPL17,0.787670273748858
LIPG,0.0705867885114822
ACAA2,-0.39801039626377616
LOC102158467,0.7787489064771611
MYO5B,-0.24719270076361644
MBD1,-0.11330656518806226
CXXC1,-0.440743308104826
SKA1,-0.10193360460436252
MAPK4,-0.48302126363500486
MRO,-0.29554864827219013
ME2,-0.4041599679161453
ELAC1,0.6884691893139088
SMAD4,0.7560537072765603
LOC102159046,-0.3777869605335923
LOC106506676,0.6183410956321854
MEX3C,-0.5552048921448566
DCC,0.8041672408899989
MBD2,0.31762784118160714
POLI,0.6748281903200801
STARD6,-0.5524384211734641
C1H18orf54,0.5665769427697789
LOC102160380,-0.502075988531401
LOC110259490,-2.0052555398326342e-31
