"","C001I","C001K","C002I","C002K","C004I","C004K","C005K","C006I","C006K","C007I","C007K","C008I","C008K","C009I","C009K"
"RP_pos_460_29144a7_068",17.4798907603368,15.5881290073863,17.7671693143435,15.6702966369039,16.9636073294128,14.4056733322819,15.7058483435089,13.9910789075561,13.6608872703026,12.1104833098162,11.4330637651221,14.3417272901253,10.2215871212648,16.6406685978825,16.8990618389514
"RP_pos_461_22787a4_655",15.298814372291,13.2934716488381,14.1753156316992,12.9966500191759,16.0326484463622,14.7908066487068,18.7491656329857,12.886268152873,12.1414685553931,14.3726610446925,14.0843101335978,14.766580669117,13.3565895203998,17.2802089200564,16.0380616201336
"RP_pos_461_27249a7_627",14.7655969015774,13.929905626598,14.8514074538589,14.1436223677477,15.3221394116918,14.857689472874,14.5576431896493,15.1148403706471,14.5804941287773,15.1870040398176,14.9383850443359,14.9359477093231,14.5824948482475,15.3141583598533,14.5069273753449
"RP_pos_461_36008a11_871",19.6130826026587,15.2448097766132,19.508154556878,15.7399387913469,15.5402491462456,12.515699838284,16.3635188058575,17.9365516783498,14.7408348261453,16.7697216425065,14.8117760553267,18.7834171345289,15.4184456063807,17.1609054597455,14.1266238190324
"RP_pos_462_25348a9_204",13.3014961949825,9.2807707701306,12.0385761027688,11.3208005488816,14.4954803171216,13.0882913573478,12.1981380524011,13.8147827150621,12.288289342181,12.8145824659063,11.873828574887,12.5038257379958,10.1072170755914,14.666113021993,15.0415736002961
"RP_pos_462_25922a9_865",19.4038608488631,14.8486229404293,18.5178538956529,13.9035053104239,17.2187429564645,13.4645457503339,14.1692986957928,17.6872594823145,14.525031345124,18.2562132964738,17.112235859979,18.6113706705757,16.6581417344383,17.8039923326325,13.7078983162412
"RP_pos_462_27069a3_742",10.3739526553702,12.1671044823799,10.6847486204216,12.8372337003391,10.9001120629775,11.8634119589416,11.801304186049,9.16741814583174,12.1605017475557,12.9806751323224,13.7202442582876,12.4563544151083,13.4207497582968,11.6501542136751,11.7735513464285
"RP_pos_462_28854a5_922",19.2186389106135,17.4876437973751,18.1499405797483,16.9213876997582,18.723254302627,17.3025586052454,18.4654069751377,18.6429154544775,17.1561127106601,19.0318223339041,18.553321800567,18.584052310786,17.1815599376824,19.1075516941276,18.2684597608301
"RP_pos_462_29681a8_171",12.2461467746359,10.9701058906122,12.1497471195047,10.5517082616207,12.9331373682567,9.8626373575588,11.661778097772,13.4022126727146,9.88264304936184,12.2167458581953,10.7657004876511,13.1514922833453,11.2526654324502,14.0486571537259,11.1510165388922
"RP_pos_462_29831a10_15",18.8892306278043,20.6610134462993,19.6388848478939,20.4534213624285,18.2933683645574,19.5714526926608,19.420556515523,17.181550232335,19.0501914252349,19.0925971491252,22.1563704422828,18.6271134741431,22.0101866011282,17.603973996309,19.0952424753695
"RP_pos_462_39389a10_136",15.8028192508162,14.6529009771572,16.8623831008319,16.0913733993549,15.6863363762672,14.9488690941026,17.5399539285027,18.2986085599858,17.7996990076209,16.9082049531259,15.6670560868641,16.8474856070868,14.4616073401138,17.5237074310898,17.1329013148895
"RP_pos_462_39462a9_748",17.8772182194151,17.3325523539283,17.5131647043396,16.8347673014054,17.6323207635641,17.3066936559736,17.7119962631706,18.460167891709,18.0191291710673,17.9867475609672,17.7370888660637,18.2541520759398,17.7049235541088,18.5014290372513,18.0364365798693
"RP_pos_463_19211a2_027",11.7364019313183,10.7253662578956,10.8033239190415,10.3728650601126,12.1234747982441,10.1885888457073,10.1045987535644,12.7613434561006,10.5961897561444,12.0399471601691,11.0721326041672,12.6880317024139,10.8486229404293,11.3949985145017,11.8560363998192
"RP_pos_463_21371a8_667",13.3074854485895,15.0694078084928,15.1550553749092,17.6160821322613,18.1032980547893,18.3918812743729,17.5756869595215,17.6797412344623,17.4368985677234,15.4758917236165,16.1128263565285,14.6174100685827,16.365211758847,17.8505165058113,18.113864230073
"RP_pos_463_30148a1_988",NA,18.7919672852876,7.59245703726808,18.9278068916049,8.17990909001493,19.7387173773674,19.1617765023584,NA,19.3481078535693,NA,18.5027813125853,8.25738784269265,19.7079892836998,8.876516946565,19.2185797903095
"RP_pos_463_31866a11_007",20.8496303517382,17.0844243320532,20.0242983146319,17.8167461868165,20.7068205892814,18.700842683357,19.2461630152577,21.0973982039779,18.8258500838611,21.2517765237375,19.3293627709625,20.9349981039922,19.362645902632,21.4026436278109,19.5634867724751
"RP_pos_463_37805a11_421",18.0667198952057,14.0138460527313,18.4273660471173,14.2459240276591,18.2342795004163,14.5437568533759,15.2099482932759,18.503224023853,14.8601655363811,18.0178414603386,15.618672269049,19.1220898804477,15.0691560292529,18.1568583086477,14.6463899508647
