"","C001H","C002H","C003H","C004H","C005H","C006H","C007H","C008H","C009H"
"PGAM5",990,514,718,681,586,460,926,866,1540
"PXMP2",101,79,113,86,48,65,116,196,133
"POLE",54,38,75,0,35,20,41,57,66
"P2RX2",12,0,0,12,17,16,0,0,23
"LRCOL1",0,0,0,0,0,20,0,0,0
"LOC110256741",0,0,0,0,0,10,0,0,0
"FBRSL1",336,322,272,201,176,223,268,466,475
"LOC110256661",0,0,0,0,0,0,0,0,0
"GALNT9",0,17,0,21,0,0,0,0,0
"NOC4L",115,67,171,25,98,64,99,133,141
"DDX51",94,127,149,84,141,72,87,175,155
"EP400",386,283,289,257,136,194,342,695,638
"PUS1",199,129,92,35,181,58,163,129,216
"ULK1",590,724,751,853,296,179,701,1554,1251
"MMP17",25,16,17,0,0,13,5,13,37
"SFSWAP",341,305,228,251,99,171,214,376,611
"LOC102162531",0,0,0,0,0,0,0,0,0
"ADGRD1",129,204,141,164,158,201,165,119,138
"RAN",3727,2954,3014,1475,2575,2206,2941,2362,4148
"STX2",81,131,133,108,104,160,102,68,169
"LOC110256876",0,0,2,0,0,0,0,0,0
"RIMBP2",19,19,34,45,0,30,24,7,39
"PIWIL1",5,0,5,14,0,26,5,0,0
"FZD10",10,0,23,14,15,9,3,8,35
"TMEM132D",0,10,4,0,0,76,0,0,0
"GLT1D1",32,29,44,0,13,21,10,60,28
"SLC15A4",1127,956,1022,716,624,641,1090,2610,2069
"TMEM132C",0,0,12,0,0,55,1,17,0
"LOC106505914",0,0,0,0,0,0,0,0,0
"LOC110256729",0,6,12,0,0,0,2,0,0
"LOC102165372",0,0,0,10,0,0,0,0,9
"LOC106505915",0,13,0,0,0,0,2,0,0
"TMEM132B",0,19,16,0,0,25,4,0,12
"LOC110256813",0,0,4,0,0,0,0,0,0
"AACS",137,162,103,16,78,118,119,147,303
"BRI3BP",510,381,461,212,286,195,286,411,827
"DHX37",54,138,81,17,19,60,88,73,107
"TRNAA-UGC_4",0,0,0,0,0,0,0,0,0
"TRNAD-GUC_21",21,71,64,66,94,0,65,86,48
"TRNAF-GAA_7",0,0,0,0,0,0,0,0,0
