"","C001H","C002H","C003H","C004H","C005H","C006H","C007H","C008H","C009H"
"LOC102165936",13,27,16,0,0,12,2,3,12
"PRDX1",33086,35514,21882,32944,38769,21736,26968,37229,48498
"MMACHC",101,120,116,176,105,73,136,161,189
"LOC110261410",35,38,14,29,104,83,62,117,71
"TESK2",85,96,133,55,97,64,67,172,232
"TOE1",79,116,69,34,14,13,84,163,164
"MUTYH",179,147,179,73,99,43,136,266,236
"HPDL",190,126,62,79,14,73,81,107,234
"ZSWIM5",18,30,48,19,0,34,27,28,80
"LOC110255224",0,0,0,0,0,0,0,0,0
"UROD",805,871,1403,954,804,746,1287,1520,1724
"HECTD3",1218,855,1233,1357,666,457,992,2006,2230
"EIF2B3",134,199,117,85,306,83,143,97,227
"LOC110261240",15,0,0,0,0,8,0,0,0
"PTCH2",90,60,55,141,44,44,59,92,117
"BTBD19",77,74,68,69,25,102,73,51,69
"TCTEX1D4",0,0,0,0,0,0,0,21,0
"PLK3",894,447,322,769,264,404,656,1490,1374
"LOC110261241",0,0,0,0,0,0,0,0,0
"BEST4",290,124,57,143,93,39,77,114,615
"RPS8",45618,61872,62792,56706,51781,52882,47978,53851,65986
"KIF2C",130,114,202,155,66,41,109,217,218
"C6H1orf228",24,45,39,22,0,0,53,33,105
"TMEM53",194,161,262,136,139,132,319,439,583
"RNF220",444,329,296,248,87,58,301,403,577
"LOC102162744",8,16,30,0,14,0,6,0,5
"LOC106507672",41,14,9,0,0,0,9,5,49
"ERI3",348,351,469,318,290,234,252,295,767
"DMAP1",354,335,408,585,106,146,271,577,643
"KLF17",0,0,3,0,0,0,0,0,12
"LOC102163655",30,37,102,71,0,19,15,2,11
"SLC6A9",1582,443,579,192,383,431,1608,1160,2490
"CCDC24",591,600,292,742,323,273,371,608,467
"B4GALT2",136,113,167,153,41,97,113,296,222
"ATP6V0B",4087,3044,4468,4680,2647,2242,3984,6277,5574
"DPH2",160,266,296,286,106,66,224,260,276
"IPO13",361,120,146,539,55,71,221,444,495
"ARTN",36,19,33,30,0,79,8,10,21
"ST3GAL3",90,162,241,247,249,228,129,169,202
"LOC100736638",25,6,40,40,39,11,23,49,32
"LOC102162566",0,0,0,0,0,0,1,0,0
"KDM4A",946,584,410,340,432,132,572,1085,1222
"PTPRF",5176,3248,3276,5872,4065,1724,4897,8721,9385
"HYI",904,1341,1539,3846,1243,1485,1365,1864,3706
"SZT2",1057,520,623,723,442,377,492,802,1235
"LOC110261243",0,0,0,13,0,0,3,0,5
"MED8",2202,1379,997,2252,1599,1678,1164,2792,2846
"ELOVL1",5418,2728,7074,9844,3435,3309,4106,11082,10911
"CDC20",281,302,378,107,205,149,220,282,558
"LOC102158889",35,7,32,0,75,24,35,63,80
"MPL",5,5,26,27,0,0,9,0,0
"TIE1",110,123,93,75,119,98,34,184,168
"LOC110261244",23,33,17,3,43,27,15,28,14
"LOC110261245",51,24,76,65,20,6,23,72,1
"C6H1orf210",925,1221,2252,1805,774,703,1012,2343,3120
"TMEM125",636,552,812,756,323,280,427,1015,1129
"EBNA1BP2",280,267,427,122,158,244,407,361,357
"FAM183A",0,0,2,0,0,8,0,0,0
"LOC100521802",0,0,0,0,0,0,0,0,0
"LOC100521977",0,0,1,0,0,0,0,0,0
"LOC100522147",0,0,0,0,0,0,0,0,0
"LOC100737941",0,0,0,0,0,0,0,0,0
"LOC100737983",0,0,0,0,0,0,0,0,0
"LOC110261246",14,0,24,6,0,0,8,6,13
"LOC100523256",7,3,12,90,0,36,0,0,0
"LOC100524382",10,6,16,0,0,26,21,28,12
"LOC110261247",0,0,21,0,0,0,3,0,0
"SLC2A1",3335,3300,2612,2939,1977,1155,3844,8802,4919
"ZNF691",56,47,108,77,16,65,62,95,83
"ERMAP",0,0,0,11,0,0,4,0,0
"SVBP",674,1140,1866,1213,1165,2194,641,1285,1593
"LOC106504280",20,24,38,0,0,0,10,17,22
"C6H1orf50",621,823,772,443,460,466,571,1328,1104
"P3H1",208,355,389,191,140,175,285,339,578
"CLDN19",0,0,0,0,0,0,0,0,0
"YBX1",16831,15526,22646,20423,18232,9406,18583,15371,21530
"PPIH",682,694,749,575,509,584,679,890,806
"CCDC30",106,64,37,127,275,59,66,55,68
"PPCS",900,1050,1146,1055,644,734,928,1078,1384
"ZMYND12",0,0,7,0,0,0,4,0,0
"RIMKLA",0,8,5,10,0,32,9,0,0
"LOC110261248",0,0,0,0,0,0,0,0,0
"FOXJ3",301,344,403,300,275,140,471,489,511
"LOC110261250",0,13,4,0,0,14,0,0,0
"LOC110261249",120,201,203,179,133,153,168,251,221
"GUCA2A",10182,14346,18454,21870,3748,10083,14135,42172,41223
"GUCA2B",51115,63698,53574,135760,30344,51035,77380,293593,190563
"LOC102166304",0,0,0,0,0,0,0,0,0
"LOC102166432",30,37,7,11,0,52,5,10,42
"HIVEP3",18,15,81,0,0,77,45,70,30
"MIR4338",0,0,0,0,0,0,0,0,0
"LOC110261251",0,0,0,0,0,0,0,0,0
"EDN2",0,0,0,0,0,0,0,0,0
"FOXO6",437,435,702,405,191,146,550,2346,1224
"LOC102166622",7,42,32,5,119,5,28,27,56
"SCMH1",60,94,61,37,74,67,90,174,175
"LOC110261253",6,2,0,0,0,11,6,50,27
"SLFNL1",8,0,6,0,0,0,0,28,6
"CTPS1",117,22,73,5,160,48,88,125,105
"MIR9829",0,0,0,0,0,0,0,0,0
"LOC106507677",0,0,0,0,0,0,0,0,0
"CITED4",34,45,58,31,15,0,25,51,89
"KCNQ4",65,29,22,7,16,14,26,6,16
"LOC106507678",8,0,0,0,0,0,0,0,0
"NFYC",348,285,441,145,319,182,323,300,603
"MIR30C-1",0,0,0,0,0,0,0,0,0
"MIR30E",0,0,0,0,0,0,0,0,0
"LOC110261254",5,0,20,45,0,0,0,0,0
"RIMS3",19,32,15,17,47,58,6,17,51
"LOC106508428",0,0,0,0,0,0,4,0,0
"LOC110255265",423,292,337,307,435,537,384,355,544
"LOC102167618",34,29,51,30,0,82,26,28,27
"LOC102167697",40,87,71,0,12,62,47,38,53
"EXO5",185,164,205,215,168,171,150,209,301
"LOC110261413",0,13,1,0,0,0,0,0,0
"ZNF643",132,259,183,199,101,99,220,176,167
"SMAP2",611,368,405,527,348,346,690,1144,1039
"LOC110261255",0,0,0,0,0,7,0,0,0
"LOC110261256",0,0,6,0,0,17,1,0,0
"LOC106508466",13,19,28,12,33,86,27,66,34
"DUSP22",135,228,222,157,142,205,104,181,228
"IRF4",8,71,106,22,44,56,38,51,146
"EXOC2",669,768,764,867,435,589,634,981,1370
"LOC110261699",0,0,0,0,0,0,0,0,0
"LOC110261700",0,25,22,0,0,9,1,0,0
"LOC102157853",6,9,41,25,0,26,3,32,0
"FOXQ1",13,23,48,0,0,0,12,17,12
"LOC102158724",6,0,12,12,0,52,9,29,16
"FOXF2",201,258,246,237,90,212,155,385,563
"LOC106504293",0,0,3,0,0,0,0,0,0
"LOC110261695",0,0,0,0,0,0,0,0,14
"FOXC1",0,31,12,34,0,4,6,9,0
"GMDS",2852,2523,2939,2486,2156,2277,2580,3544,5692
"LOC106504294",0,0,0,12,0,0,0,0,0
"LOC110261651",0,0,0,13,0,0,9,0,14
"LOC110261650",0,0,0,0,0,9,0,0,0
"LOC110261649",0,0,4,0,0,0,0,0,0
"LOC110261761",0,0,0,0,0,0,0,0,0
"MYLK4",12,2,18,0,0,41,7,6,0
"WRNIP1",475,507,457,245,322,214,378,793,810
"SERPINB1",13527,11780,11792,13881,6932,6464,27424,28773,45986
"SERPINB9",469,225,122,159,275,88,561,823,641
"LOC106504299",8725,8844,5243,9110,6173,8752,11345,16847,17932
"LOC102159819",0,0,0,0,0,0,3,15,0
"NQO2",507,558,213,390,297,246,484,1074,774
"RIPK1",1253,1072,1308,811,1044,630,1746,2599,1895
"BPHL",400,166,201,366,255,156,217,621,1141
"LOC100624785",1068,946,537,1089,572,384,951,2285,1760
"LOC110261696",0,0,0,0,0,0,0,0,0
"TUBB2B",98,9,51,78,70,22,81,21,114
"LOC110261762",0,0,0,0,0,0,5,0,0
"PSMG4",196,218,245,268,212,168,270,179,451
"SLC22A23",2036,1614,1936,2870,1629,848,2232,4860,5016
"LOC110261763",2,0,0,0,0,0,0,5,11
"PXDC1",380,556,620,291,726,140,806,1119,518
"LOC110261697",4,0,0,0,18,19,0,0,23
"FAM50B",11,30,18,38,43,37,11,39,25
"LOC102161744",28,27,24,28,19,34,29,19,40
"LOC102161992",32,34,94,80,56,185,22,48,123
"PRPF4B",560,590,673,490,629,433,676,883,1099
"ECI2",801,625,430,308,808,673,600,1014,1600
"LOC110261764",0,0,0,0,0,0,0,0,0
"LOC102162837",12,2,35,0,24,0,44,53,41
"LOC106507192",0,0,5,0,0,10,2,0,0
"LOC106504303",17,49,33,20,23,11,46,81,154
"CDYL",669,560,980,375,865,385,1068,1437,1529
"LOC110261701",4,0,0,0,0,0,0,0,0
"RPP40",123,85,110,108,23,111,129,88,206
"LYRM4",75,95,112,20,80,86,90,66,74
"PPP1R3G",66,42,67,65,18,9,12,41,76
"FARS2",83,79,101,75,118,128,96,86,271
"NRN1",0,0,4,0,0,0,1,0,0
"F13A1",241,172,274,68,162,155,289,184,317
"MIR9841",0,0,0,0,0,0,0,0,0
"LY86",91,47,295,59,88,171,126,133,137
"LOC110261765",0,0,0,0,0,0,0,0,0
"LOC110261766",0,0,13,0,0,26,0,4,0
"LOC110261767",11,5,21,0,0,12,2,0,31
"LOC110261768",0,0,7,19,0,0,1,0,6
"LOC110261769",0,0,14,0,0,21,11,0,26
"LOC102165101",0,0,7,0,0,0,1,0,8
"RREB1",931,579,475,371,751,454,1506,1667,1894
"SSR1",1181,908,1115,719,913,1108,1218,1312,1881
"LOC110261770",9,2,0,0,0,0,0,3,0
"CAGE1",15,41,38,10,64,7,6,6,37
"RIOK1",103,96,88,117,62,40,108,97,128
"LOC102159209",0,0,0,0,24,0,2,0,0
"DSP",6919,3365,4359,4891,2719,1758,7067,11534,7925
"SNRNP48",484,470,344,232,150,288,361,405,348
"LOC110261771",0,0,4,0,0,0,0,0,10
"BMP6",21,0,18,0,0,0,7,21,0
"TXNDC5",528,908,2318,1397,1067,948,759,1475,1705
"LOC110261772",0,0,2,0,0,0,1,0,0
"BLOC1S5",89,32,46,16,147,24,46,112,63
"EEF1E1",808,1014,1219,641,1060,899,1040,714,1536
"LOC100627410",279,223,286,142,310,346,386,411,574
"SLC35B3",522,447,512,391,334,621,479,474,573
"LOC106504312",6,11,21,4,0,5,0,4,14
"LOC110261773",4,0,0,0,0,3,2,0,0
"LOC102167185",0,11,0,0,0,0,1,0,0
"MIR9802",0,0,0,0,0,0,0,0,0
"LOC106504316",0,0,3,0,0,0,0,0,0
"LOC110261702",0,0,0,0,0,0,0,0,0
"TFAP2A",0,1,13,13,0,21,7,1,11
"LOC106504315",2,9,11,0,0,5,2,0,8
"LOC110255306",15,0,3,0,0,10,4,8,7
"LOC102157807",0,22,26,51,16,73,10,0,22
"LOC100152566",80,82,149,58,123,127,102,119,220
"C7H6orf52",9,0,19,11,40,13,47,8,32
"PAK1IP1",213,162,266,190,113,172,302,271,175
"LOC100517166",1029,1058,1038,1027,925,893,822,1063,1735
"MAK",0,7,20,42,67,29,6,28,0
"GCM2",0,0,0,0,0,0,0,0,0
"SYCP2L",0,0,0,12,0,0,0,0,8
"ELOVL2",0,0,0,0,0,0,5,0,0
"LOC106504317",0,14,0,0,0,0,2,14,11
"SMIM13",174,110,153,130,222,159,87,94,265
"NEDD9",1684,1568,1875,1626,600,1066,1576,3825,1861
"LOC110261775",9,0,4,12,0,0,1,0,0
"LOC110261774",0,0,1,0,0,23,0,0,0
"LOC110261776",0,0,0,0,0,0,0,0,0
"TMEM170B",105,53,27,0,51,31,64,9,67
"MIR7136",0,0,0,0,0,0,0,0,0
"LOC110261703",0,0,0,0,0,0,0,0,0
"ADTRP",1383,2766,4558,3355,5057,3053,2545,3500,6227
"LOC106507336",0,0,0,0,0,0,0,0,0
"LOC102166292",0,0,0,0,0,0,0,0,0
"HIVEP1",229,243,327,194,191,55,211,216,462
"LOC106507341",0,0,3,0,0,0,6,0,0
"EDN1",298,196,370,144,104,294,289,193,421
"LOC106507349",0,0,0,0,0,0,0,0,0
"PHACTR1",93,98,281,99,89,263,113,228,234
"TBC1D7",630,737,420,755,369,212,425,1199,955
"GFOD1",111,21,50,56,78,91,20,57,81
"LOC110261777",0,0,9,0,0,0,5,0,0
"SIRT5",162,171,78,38,56,62,82,189,141
"NOL7",1123,891,1466,1072,1018,1088,1030,1339,1717
"RANBP9",469,590,450,491,403,484,488,576,841
"MIR9837",0,0,0,0,0,19,0,0,0
"MCUR1",177,230,256,407,90,282,184,228,261
"LOC106504323",0,0,0,0,0,0,0,0,0
"RNF182",7,0,7,0,0,0,0,0,0
"LOC110261779",0,0,3,0,0,21,1,0,0
"CD83",30,30,121,24,32,48,51,67,55
"LOC106507125",0,0,0,0,0,13,0,0,14
"MIR9807",0,0,0,0,0,0,0,0,0
"LOC106504325",0,0,19,0,0,0,0,17,0
"LOC110261780",0,0,0,0,0,13,1,0,0
"LOC102163473",0,0,0,0,0,1,0,0,0
"LOC110261781",0,0,0,0,0,0,1,0,0
"LOC106504331",76,61,34,80,0,71,105,150,238
"LOC110261782",17,17,32,21,0,0,9,6,14
"LOC110261783",20,2,10,0,0,0,2,49,6
"JARID2",812,580,365,569,321,443,699,1529,1250
"DTNBP1",245,173,277,170,152,111,195,453,305
"LOC110261784",0,0,5,0,0,0,0,0,0
"LOC110261785",0,0,12,0,0,0,0,15,0
"LOC110261786",0,0,1,0,0,0,0,0,0
"LOC102164853",0,0,0,0,0,0,0,0,0
"MYLIP",83,96,220,121,160,124,333,291,195
"LOC106504328",0,0,5,0,0,43,0,0,0
"GMPR",1081,643,1107,1278,879,877,837,1506,1811
"ATXN1",278,209,430,187,26,131,415,442,271
"LOC110261652",0,0,0,0,0,0,0,0,0
"LOC106504330",0,2,7,8,0,0,3,0,0
"LOC110261653",0,0,6,13,19,0,0,0,0
"LOC110261787",0,0,1,0,0,50,2,0,1
"STMND1",0,0,1,0,0,5,0,0,19
"LOC110261788",10,0,6,0,0,13,6,0,0
"RBM24",139,254,219,79,48,167,103,110,80
"LOC110261789",0,14,3,17,0,0,4,0,29
"CAP2",157,122,88,32,187,65,49,75,129
"FAM8A1",569,859,716,880,568,524,612,750,1128
"NUP153",954,1446,2417,1689,1229,1137,1877,1418,1653
"KIF13A",294,371,250,163,212,161,301,626,467
"LOC110261792",0,0,0,8,0,0,0,0,0
"NHLRC1",0,50,27,5,18,16,49,32,50
"TPMT",303,178,63,799,206,859,290,411,1926
"KDM1B",444,482,472,712,439,292,436,613,467
"DEK",283,218,187,94,141,186,292,389,457
"RNF144B",73,47,46,36,66,44,59,22,91
"LOC106504333",0,4,13,0,0,13,0,0,0
"ID4",672,850,531,968,632,525,878,1335,1866
"LOC110261794",0,0,0,0,0,0,0,0,0
"LOC106504335",0,3,0,0,21,0,0,0,0
"MBOAT1",1167,950,702,1013,564,993,879,2513,3219
"E2F3",132,196,152,205,165,148,138,264,304
"CDKAL1",30,74,123,97,42,67,35,40,140
"LOC106504338",0,0,3,11,0,30,2,0,0
"LOC102160563",0,0,0,0,0,0,0,0,0
"LOC110261654",7,3,4,12,29,0,0,0,0
"SOX4",900,1409,1970,1605,1152,1559,1436,1433,1756
"LOC100512907",26,69,107,59,57,109,47,18,51
"LOC110261655",6,24,34,22,10,96,7,0,10
"PRL",0,0,0,0,0,0,0,0,0
"LOC106504342",0,8,0,0,0,0,1,0,0
"HDGFL1",0,0,8,0,0,0,1,11,0
"LOC106504343",0,1,4,0,0,0,0,0,0
"LOC102161961",0,0,1,0,0,0,0,0,0
"NRSN1",21,11,7,34,19,0,10,17,12
"DCDC2",0,8,0,0,0,11,0,0,0
"MRS2",78,21,42,0,23,35,43,10,60
"GPLD1",0,0,0,1,0,0,0,0,12
"ALDH5A1",115,64,31,82,24,58,47,34,68
"KIAA0319",25,4,6,6,0,35,11,0,11
"TDP2",3886,5003,4336,3935,2780,3714,4827,5432,6601
"ACOT13",5020,7216,4001,5528,3377,3702,3476,5308,4087
"C7H6orf62",631,699,580,324,362,151,515,751,966
"GMNN",1489,2676,1901,1244,1054,1130,2347,1743,1657
"C7H6orf229",0,0,2,0,12,23,0,0,0
"RIPOR2",116,121,304,93,89,155,165,133,269
"LOC106504346",0,3,6,0,0,0,0,0,0
"LOC100515492",10,0,5,0,9,5,2,0,0
"CMAH",244,87,28,53,48,3,529,168,76
"LOC110261656",8,10,16,0,51,0,10,41,30
"CARMIL1",671,371,580,598,322,419,722,896,1407
"LOC110261657",6,0,0,7,0,0,4,0,0
"SCGN",7,28,34,0,0,9,10,2,62
"LOC102167186",0,0,0,0,0,0,0,0,0
"LOC106504348",0,0,0,0,0,1,0,0,0
"LOC100153329",0,0,0,0,0,0,0,0,0
"LOC100152135",0,0,0,0,0,0,0,0,0
"LOC100152878",0,0,0,0,0,0,0,0,0
"SLC17A4",0,0,1,0,0,0,0,0,0
"SLC17A1",0,0,19,0,0,0,1,30,0
"SLC17A3",0,0,5,0,0,0,0,0,0
"SLC17A2",0,0,0,0,0,0,0,0,0
"LOC110261475",0,0,0,0,0,0,0,0,0
"TRIM38",1175,496,818,1104,366,520,754,1212,1199
"LOC110261478",27,7,13,0,0,0,1,16,10
"LOC110261489",5,7,16,0,0,0,8,0,0
"LOC110261483",16,21,334,139,183,445,7,4,249
"LOC110261486",18,7,120,16,14,0,42,30,31
"LOC574051",120,41,36,37,0,35,55,52,0
"HFE",123,146,249,81,223,180,84,189,230
"LOC110261477",461,936,661,787,380,362,646,980,916
"LOC110261479",1,3,5,13,22,10,14,0,25
"LOC110261482",393,549,1676,312,136,425,629,746,958
"HIST1H2BD",6639,10217,20781,10537,7522,11796,6320,12883,16090
"LOC100156127",0,4,1,19,27,0,4,0,0
"HIST1H3E",9,5,0,20,0,0,1,6,12
"LOC100158121",9,2,27,0,0,0,12,6,0
"LOC100156937",15,47,73,18,22,2,54,28,96
"LOC100155734",11,0,14,0,0,0,4,0,1
"LOC106504121",37,22,35,20,29,41,23,46,151
"LOC595122",684,138,118,80,180,72,276,312,478
"LOC110261487",335,457,313,44,19,16,237,363,371
"LOC110261735",0,7,1,0,0,0,7,3,13
"LOC110261669",0,0,0,0,0,0,0,0,0
"LOC110261665",0,0,5,0,0,0,0,13,0
"LOC110261663",1,7,6,12,0,0,7,0,1
"LOC110261673",37,21,49,27,23,4,24,13,39
"TRNAM-CAU_5",0,0,0,0,0,0,0,0,0
"TRNAR-UCG_1",0,0,0,0,0,0,0,0,0
"TRNAS-GCU_2",0,0,0,0,0,0,0,0,0
"TRNAQ-UUG",0,0,0,0,0,0,0,0,0
"TRNAQ-UUG_1",0,0,0,0,0,0,0,0,0
"TRNAS-UGA",0,0,0,0,0,0,0,0,0
"TRNAM-CAU_6",0,0,0,0,0,0,0,0,0
"TRNAG-GCC_13",0,0,0,0,0,0,0,0,0
"TRNAW-CCA_3",0,0,0,0,0,0,0,0,0
"LOC110261677",0,0,1,0,0,2,0,0,0
"TRNAR-UCG_2",0,0,0,0,0,0,0,0,0
"TRNAS-AGA_2",0,0,0,0,0,0,0,0,0
"TRNAR-ACG",0,0,0,0,0,0,0,0,0
"TRNAM-CAU_7",0,0,0,0,0,0,0,0,0
"TRNAW-CCA_4",0,0,0,0,0,0,0,0,0
"LOC106507685",0,0,2,0,0,0,0,0,0
"BTN2A2",37,4,29,0,0,11,5,0,48
"BTN1A1",0,0,0,0,0,0,0,9,0
"TRNAL-CAG_10",0,0,0,0,0,0,0,4,0
"TRNAT-AGU_1",0,0,0,0,0,0,0,0,0
"TRNAR-ACG_1",0,0,0,0,0,0,0,0,0
"TRNAV-CAC_2",0,0,0,0,0,0,0,0,0
"HMGN4",248,277,329,193,302,444,254,166,326
"TRNAK-UUU_6",0,0,0,0,0,0,0,0,0
"TRNAA-CGC",0,0,0,0,0,0,0,0,10
"TRNAI-AAU",0,0,0,0,0,0,0,0,0
"TRNAP-AGG_3",0,0,0,0,0,0,0,0,0
"TRNAK-CUU_12",0,0,0,0,0,0,0,0,0
"TRNAY-GUA_4",0,0,0,0,0,0,0,0,0
"TRNAA-AGC_5",0,0,0,0,0,0,0,0,0
"TRNAY-GUA_5",0,0,0,0,0,0,0,0,0
"TRNAY-GUA_6",0,0,0,0,0,0,0,0,0
"LOC102162475",0,0,2,0,23,0,6,3,0
"ABT1",322,248,278,97,279,275,322,271,496
"TRNAN-GUU_5",0,0,0,0,0,0,0,0,0
"LOC100156148",0,0,0,0,0,0,0,0,0
"LOC100156560",0,0,0,0,0,0,0,0,0
"LOC100157765",0,0,0,0,0,0,0,0,0
"LOC100152873",0,0,0,0,0,0,0,0,0
"LOC100155301",0,0,0,0,0,0,0,0,0
"LOC110261660",0,0,0,0,0,0,0,0,0
"LOC100155759",0,0,0,0,0,0,0,0,0
"ZNF322",388,498,691,297,472,412,556,852,946
"TRNAM-CAU_8",0,0,0,0,0,0,0,0,0
"TRNAV-AAC_4",0,0,0,0,0,0,0,0,0
"TRNAM-CAU_9",0,0,0,0,0,0,0,0,0
"TRNAA-AGC_6",0,0,0,0,0,0,0,0,0
"TRNAM-CAU_10",0,0,0,0,0,0,0,0,0
"TRNAA-AGC_7",0,0,0,0,0,0,0,0,0
"TRNAV-AAC_5",0,0,0,0,0,0,0,0,0
"TMEM225B_1",6,13,12,8,0,0,5,0,17
"TRNAI-UAU_2",0,0,0,0,0,0,0,0,0
"TRNAS-GCU_3",0,0,0,0,0,0,0,0,0
"TRNAP-CGG_2",0,0,0,0,0,0,0,0,0
"TRNAS-GCU_4",0,0,0,0,0,0,0,0,0
"LOC110261670",11,9,4,0,0,7,4,2,21
"LOC110261666",23,34,115,117,36,46,27,49,113
"LOC110261674",0,4,0,0,0,1,0,0,0
"LOC110261672",0,1,6,8,0,5,4,0,25
"LOC110261668",0,0,11,0,0,1,0,14,0
"TRNAH-GUG_6",0,0,0,0,0,0,0,0,0
"LOC110261659",1,20,9,0,12,0,0,17,12
"LOC110261658",60,75,43,10,22,21,35,58,127
"TRNAV-UAC_4",0,0,0,0,0,0,0,0,0
"TRNAT-AGU_2",0,0,0,0,0,0,0,0,0
"LOC110261678",0,7,5,0,0,17,0,0,0
"TRNAI-AAU_1",0,0,0,0,0,0,0,0,0
"TRNAV-CAC_3",0,0,0,0,0,0,0,0,0
"TRNAS-CGA_1",0,0,0,0,0,0,0,0,0
"TRNAR-ACG_2",0,0,0,0,0,0,0,0,0
"TRNAL-UAA_2",0,0,0,0,0,0,0,0,0
"TRNAI-AAU_2",0,0,0,0,0,0,0,0,0
"PRSS16",0,0,18,0,0,16,3,0,0
"TRNAI-AAU_3",0,8,7,21,22,0,0,18,35
"TRNAT-AGU_3",0,0,0,0,0,0,0,0,0
"TRNAV-UAC_5",0,0,0,0,0,0,0,0,0
"TRNAR-ACG_3",0,0,0,0,0,0,0,0,0
"TRNAI-AAU_4",0,0,0,0,0,0,0,0,0
"TRNAV-CAC_4",0,0,0,0,0,7,0,0,0
"TRNAI-AAU_5",0,1,16,0,0,62,0,0,0
"TRNAM-CAU_11",0,0,0,0,0,0,0,0,0
"TRNAS-GCU_5",0,0,0,0,0,0,0,0,0
"TRNAM-CAU_12",0,0,0,0,0,0,0,0,0
"TRNAI-AAU_6",0,0,0,0,0,13,0,0,0
"TRNAV-CAC_5",0,0,0,0,0,0,0,0,0
"TRNAI-AAU_7",0,0,0,0,0,0,0,0,0
"TRNAR-ACG_4",0,0,0,0,0,0,0,0,0
"TRNAV-UAC_6",0,0,0,0,0,0,0,0,0
"TRNAT-AGU_4",0,0,0,0,0,0,0,0,0
"POM121L2",0,2,0,0,0,0,0,0,0
"TRNAM-CAU_13",0,0,0,0,0,0,0,0,0
"TRNAK-UUU_7",0,0,0,0,0,0,0,0,0
"LOC102159855",10,0,0,0,19,0,0,4,0
"ZNF391",8,3,6,0,0,0,4,1,0
"ZNF184",100,237,221,105,84,93,164,173,212
"TRNAS-AGA_3",0,0,0,0,0,0,0,0,0
"TRNAS-AGA_4",0,0,0,0,0,0,0,0,0
"TRNAD-GUC_14",0,0,0,7,0,0,0,0,0
"TRNAS-UGA_1",0,0,0,0,0,0,0,0,0
"TRNAQ-CUG_4",0,0,0,0,0,0,0,0,0
"TRNAS-AGA_5",0,0,0,0,0,0,0,0,0
"MIR7857",0,0,0,0,0,0,0,0,0
"TRNAS-AGA_6",0,0,0,0,0,0,0,0,0
"TRNAM-CAU_14",0,0,0,0,0,0,0,0,0
"TRNAS-AGA_7",0,0,0,0,0,0,0,0,0
"TRNAS-UGA_2",0,0,0,0,0,0,0,0,0
"TRNAQ-CUG_5",0,0,0,0,0,0,0,0,0
"TRNAS-AGA_8",0,0,0,0,0,0,0,0,0
"TRNAR-UCU_4",0,0,0,0,0,0,0,0,0
"TRNAL-CAA_2",0,0,0,0,0,0,0,0,0
"TRNAK-UUU_8",0,0,0,0,0,0,0,0,0
"TRNAD-GUC_15",0,0,2,0,0,0,0,0,0
"TRNAK-UUU_9",0,0,0,0,0,0,0,0,0
"TRNAM-CAU_15",0,0,0,0,0,0,0,0,0
"TRNAL-CAA_3",0,0,0,0,0,0,0,0,0
"TRNAL-CAA_4",0,0,0,0,0,0,0,0,0
"TRNAI-UAU_3",0,0,0,0,0,0,0,0,0
"TRNAF-GAA_4",0,0,0,0,0,0,0,0,0
"TRNAI-AAU_8",0,2,0,0,0,3,0,0,0
"TRNAR-ACG_5",0,0,0,0,0,0,0,0,0
"TRNAS-CGA_2",0,0,0,0,0,0,0,0,0
"TRNAV-AAC_6",0,0,0,0,0,0,0,0,0
"TRNAT-AGU_5",0,0,0,0,0,0,0,0,0
"TRNAI-AAU_9",0,0,0,0,0,0,0,0,0
"TRNAI-AAU_10",0,0,0,0,0,0,0,0,0
"LOC102160564",17,16,67,63,113,19,58,50,91
"TRNAL-UAA_3",0,0,0,0,0,0,0,0,0
"TRNAT-AGU_6",0,0,0,0,0,0,0,0,0
"TRNAV-AAC_7",0,0,0,0,0,0,0,0,0
"TRNAQ-CUG_6",0,0,0,0,0,0,0,0,0
"TRNAQ-UUG_2",0,0,0,0,0,0,0,0,0
"LOC110261671",8,19,21,15,0,4,7,1,63
"LOC100157763",193,174,168,52,177,99,113,167,454
"LOC110261675",18,57,75,73,0,113,0,0,51
"LOC100154071",0,0,20,0,0,0,3,26,0
"LOC100156932",9,14,6,0,17,19,7,20,2
"LOC100158117",0,6,0,0,53,0,6,14,39
"LOC100525821",53,124,67,14,71,81,40,71,81
"LOC100154508",0,7,8,0,0,12,3,0,0
"LOC100621915",101,32,27,3,1,4,47,0,39
"LOC100512420",5,0,0,0,0,0,0,3,0
"LOC110261661",11,9,14,21,0,37,9,29,19
"LOC110261664",0,0,0,0,0,0,0,0,0
"LOC100622387",0,0,1,0,0,0,0,0,0
"TRNAM-CAU_16",0,0,0,0,0,0,0,0,0
"TRNAG-GCC_14",0,0,0,0,0,0,0,0,0
"LOC100514111",0,0,0,0,0,0,0,0,0
"LOC100516618",0,0,0,0,22,0,0,0,0
"LOC100514657",0,0,0,0,0,16,0,0,0
"LOC100512238",0,0,0,0,0,0,0,0,0
"LOC100516810",0,0,0,0,0,0,0,0,0
"LOC100157348",0,0,0,0,0,0,0,0,0
"LOC100156953",0,0,0,0,0,0,0,0,0
"LOC100154932",0,0,0,0,0,0,0,0,0
"LOC100515036",0,0,0,0,0,0,0,0,0
"LOC100153320",0,0,0,0,0,0,0,0,0
"LOC100156522",0,0,0,0,0,0,0,0,0
"LOC100156552",0,0,0,0,0,0,0,0,0
"ZNF165",48,36,21,25,19,8,13,39,9
"ZSCAN16",76,39,38,26,25,30,46,26,46
