"","C001F","C002F","C004F","C005F","C006F","C007F","C008F","C009F","C013F","C014F","C015F"
"MAG029",16.0446820104764,19.9685208085591,16.0633897972614,16.9554649306505,16.6770621468566,16.2365549884086,15.3756022788469,15.2276663445748,17.5580293947673,15.1832516622928,15.6340690969645
"MAG030",20.8681294326013,13.1644447690267,20.051101924679,20.4822638663818,20.1813161436597,16.1414227665178,19.2326159701198,14.6399421959205,15.4057712530757,17.0560551409916,14.7399576672433
"MAG031",17.7216219096291,17.8810601357119,18.8517382701221,18.9641584572009,18.0578631169677,19.1151987736738,16.2459147561664,17.430445982246,14.2572433842957,17.8622395956041,17.0430712005336
"MAG032",15.6379410582025,13.4263441512078,18.5546564074978,18.2786492964138,16.6902347434351,14.027739685032,12.7227591902916,14.1033661207364,11.558137178513,15.7796012510364,15.1233494802096
"MAG033",19.1518740755188,19.188211017156,19.1860241866831,16.780310905704,18.2405093835459,17.9085528321857,16.8436329420766,16.102385237099,18.4416564241014,17.1430117126263,17.8978720021977
"MAG034",10.5880017565279,11.0071308693398,19.8895577909526,10.8782970506969,11.9164434636293,13.6009974088986,18.2408722885318,13.4254698170452,19.1725779485953,10.6716872619254,10.7827963091042
"MAG035",16.6831587909156,15.2876134630969,19.7507735990826,19.2680468744728,20.7368688906858,18.5879995727308,15.1307077318293,17.0890258329084,17.3869804710128,20.341946673499,18.1019169448327
"MAG036",15.385091955321,11.9980065347049,18.1906156127721,19.1789260677884,16.6031565026424,17.6302884690875,16.7663222693629,10.2399918132311,12.0430140419803,18.0284703007424,9.98988930164892
"MAG037",15.0396914739379,14.0707520371387,20.8542745324184,19.9001598215603,19.9949478920462,16.0062052746916,19.1064112985304,21.0075593986232,18.466732163083,13.3385347596026,15.4854799394939
"MAG038",13.2755721234405,14.4439202441137,19.1683648888607,11.4058125306209,11.3368213444021,12.9532802895347,11.2862968114158,13.199330398639,15.7813635939205,12.6570952411417,11.7957946554583
"MAG039",16.0757986691582,14.8365882515265,18.4153027725104,12.8999108091255,14.0467572831093,14.3005697659105,12.9681464772719,16.7737141955245,14.4871382518343,14.6295713659315,12.432665316935
"MAG040",16.3263504019836,15.5651870487409,22.6154183237374,20.2632402705693,18.8425128688331,16.6608998094928,15.4714404912466,21.7655789493778,22.0364335852606,19.3649203293494,16.2549034010055
"MAG041",17.2008827735984,16.942694285299,18.6773439648108,13.2637785098944,15.4175724231947,12.9727352782947,12.6055320107434,16.3947399316296,12.766545561537,16.2042545135793,16.5042068387623
"MAG042",9.63047123195778,12.3120696340277,18.8888375936959,13.1576171347183,16.1252851529676,10.7613176073099,11.7359075366941,13.6328946592291,18.0613277444591,15.4547522799,10.8398046123095
"MAG043",13.3026005361372,9.7694883261558,18.2315463955517,16.2793156986246,16.7691639015714,17.0035754345264,13.011222331374,16.5002475784718,19.0745294028649,15.7778624335556,16.168301848534
"MAG044",15.0614914317117,15.6867836556858,19.0761273238651,14.8170204275212,15.5187407303174,14.0672300601458,14.8077506230323,14.9075384989882,15.8281074495333,14.3815930030815,15.914629282126
