"","C001H","C002H","C004H","C005H","C006H","C007H","C008H","C009H"
"MTMR6",9.64445758509495,9.76823477321016,9.69080866528297,8.96303997614838,9.28913710155364,9.37716323549493,9.85676485876719,9.60169982279677
"NUP58",9.0608932759831,9.05653764099521,8.8780342356135,9.67818727643916,9.07842275362004,8.98991646682309,8.79310517117541,9.08363671623844
"LOC100523747",6.73960934498195,7.07316386440008,6.95750366001126,6.27684859056292,8.07570504558119,6.64432282952042,6.79200700591076,7.19758946645094
"SHISA2",8.18659660311795,7.90055112094192,7.48305990590313,7.73304426352742,8.41938400287633,7.0407976596334,7.74616847754802,7.83219826520437
"LOC100625134",6.27684859056292,6.74046252740995,6.27684859056292,6.27684859056292,7.1416332569313,6.27684859056292,6.72922117079358,6.27684859056292
"RNF6",9.31393662588924,9.25900507071139,9.03165678984482,9.10462428073847,9.57811072348063,9.58947976638094,9.27342234096443,9.11708936015619
"LOC106507930",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,7.3585030625647,6.44154324124434,6.79200700591076,6.27684859056292
"CDK8",8.74387270313735,8.54373773741836,8.24240631973949,8.19436156409128,7.99716774185718,8.43944324530928,8.6802230138552,8.562057322636
"LOC102162170",6.27684859056292,6.27684859056292,6.7097108684329,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292
"LOC110255794",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292
"WASF3",7.47198586372368,7.89371840494236,7.48305990590313,7.3966346436265,7.48281194266015,7.71749591396452,7.5443109404173,7.63759211232867
"LOC110255795",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,7.0611457015446,6.27684859056292,6.70618119312519,6.27684859056292
"GPR12",6.92854532725427,6.27684859056292,6.27684859056292,7.18729897036089,6.27684859056292,6.44154324124434,6.27684859056292,6.27684859056292
"USP12",8.87390366864008,8.71569628764372,8.42579852378765,8.82543130417655,8.12781979479218,8.76008046650308,8.56004248628839,8.69700576934551
"LOC102162556",6.70995157088497,6.27684859056292,7.5720891864786,6.27684859056292,6.80325081081035,6.56179960753869,6.70618119312519,6.58555748226966
"RPL21",13.7683183746461,14.1772273545426,14.9286539455239,14.5546985534641,14.5204224804364,14.3348043913461,13.661781097169,13.8330094978341
"RASL11A",7.6391429064529,7.5424894677927,7.93161553238872,6.84718120718951,7.78425283528731,7.64278170050777,7.72820463135205,7.77104429405953
"GTF3A",7.80580861402933,7.92748984865772,7.07931585627113,8.64501593539264,7.54558531221531,8.0063649660627,8.12730322702901,7.80203427455961
"MTIF3",7.84207420225282,7.96031912351321,7.50606681388309,7.54469842362023,7.83195620785363,7.65134374016536,7.58650670359839,7.75749630847985
"LOC110255797",6.27684859056292,6.6439554727287,6.7097108684329,6.27684859056292,6.27684859056292,6.60570435565921,6.27684859056292,6.27684859056292
"LNX2",10.8419740474171,10.9770825186012,11.885977235595,11.0449366483038,10.7687945005837,11.4403407151813,11.3855829138374,11.3142824070176
"POLR1D",10.5870042001368,11.313647720094,11.1330255637015,10.5210958697469,10.5881821053035,10.4864174889708,11.5768132383742,10.5369380422095
"LOC106505238",9.32316313183985,9.48600878865252,10.1640484206516,9.44641451998524,9.06412874227793,9.17141764827279,9.94094059050966,9.47107018529133
