"","C001H","C002H","C004H","C005H","C006H","C007H","C008H","C009H"
"TRDN",0,0,0,0,19,2,0,0
"LOC102166321",0,0,0,0,19,2,0,0
"CLVS2",0,12,0,0,61,0,0,23
"SMPDL3A",963,1445,1327,1246,1735,1372,2190,2888
"FABP7",0,0,0,0,4,1,9,0
"PKIB",443,720,826,584,903,736,704,807
"LOC102157594",0,0,0,0,0,0,0,0
"SERINC1",3147,3309,3100,3000,2860,3319,4134,6682
"HSF2",140,162,144,198,93,131,177,282
"LOC110260218",0,0,0,0,14,0,0,0
"LOC102158650",0,0,0,0,0,0,0,8
"GJA1",2856,2664,1990,3021,2739,2900,2536,4044
"TBC1D32",27,46,63,10,59,73,39,134
"LOC106507559",0,6,0,0,0,0,0,0
"MAN1A1",825,983,1080,842,947,837,695,1478
"FAM184A",0,0,0,23,0,0,7,0
"MCM9",66,37,38,22,77,52,35,62
"ASF1A",231,225,0,177,92,154,234,271
"LOC110260244",0,5,0,0,23,3,0,19
"LOC110260246",0,2,35,0,17,5,1,0
"CEP85L",64,149,31,27,57,86,111,116
"PLN",763,567,790,546,641,330,894,965
"SLC35F1",0,5,0,0,34,15,11,8
"LOC110260250",47,88,63,54,126,86,59,25
"NUS1",1691,2055,2423,2046,1555,2578,2593,2874
"LOC100520342",4,0,0,0,0,0,0,0
"GOPC",689,780,481,489,493,945,1048,1120
"DCBLD1",483,430,267,348,233,491,590,1023
"ROS1",28,142,38,32,99,112,94,293
"LOC110260270",0,0,0,0,0,0,0,0
"VGLL2",0,0,0,0,0,1,0,7
"RFX6",0,3,0,0,0,3,0,0
"LOC110260274",3,0,11,0,0,0,0,35
"GPRC6A",0,0,0,0,0,0,0,0
"FAM162B",5,25,91,105,60,24,54,41
"LOC100523874",1,0,0,3,18,2,1,1
"KPNA5",81,107,14,101,188,124,113,214
"ZUFSP",335,361,350,347,253,339,375,551
"RSPH4A",0,0,0,0,0,0,0,0
"LOC102160776",31,38,0,60,13,19,17,12
"LOC106508867",8,0,0,0,0,0,0,16
"LOC102161201",313,235,432,237,94,130,487,189
"PTP4A1",12386,11118,7048,8531,7834,15255,22502,15660
"PHF3",664,525,349,438,186,449,854,740
"EYS",0,0,0,0,11,0,1,9
"LOC106508869",0,2,0,0,6,0,0,0
"LOC110259411",0,0,0,0,0,3,0,0
"LOC110256955",0,0,0,0,10,2,0,0
"LMBRD1",1130,2054,1094,1024,1148,1823,2001,2813
"LOC110260294",0,0,0,0,0,0,0,0
"COL19A1",8,47,0,25,38,14,44,56
"COL9A1",0,0,11,0,1,1,0,0
"FAM135A",1964,2034,1695,2223,1341,2731,3206,2024
"SMAP1",537,311,305,464,187,534,658,887
"B3GAT2",13,2,23,12,0,11,21,12
"OGFRL1",197,308,122,204,142,234,275,375
"LOC102157778",0,6,0,0,0,10,11,7
"MIR30C-2",0,9,0,0,0,0,0,0
"MIR30A",4,0,22,0,0,0,0,0
"RIMS1",126,210,203,70,265,175,162,204
"LOC106508874",0,0,4,0,0,0,0,0
"KCNQ5",6,10,0,23,31,26,17,41
"LOC100511846",0,3,0,0,0,1,17,2
"DPPA5",0,0,0,0,13,0,0,0
"KHDC3L",0,0,0,21,0,0,0,0
"DDX43",0,0,0,0,0,2,0,0
"LOC100622980",544,731,649,443,494,759,756,934
"MRAP2",4,15,18,0,11,26,38,10
"CEP162",83,58,91,47,110,101,133,99
"TBX18",27,0,6,10,0,14,28,11
"LOC102157437",3,0,0,0,30,0,5,0
"NT5E",348,592,721,336,909,469,732,805
"SNX14",2495,3528,2627,2437,2633,3057,2994,3756
"SYNCRIP",1364,1610,851,1315,1535,1659,1323,2486
"HTR1E",0,0,0,0,0,0,0,7
"LOC100151959",0,6,0,0,0,0,2,0
"CGA",4,0,0,0,0,2,27,0
"ZNF292",492,553,288,288,492,467,412,549
"GJB7",0,0,0,0,0,5,0,0
"SMIM8",911,1100,748,630,623,710,763,1404
"C1H6orf163",0,0,25,0,0,0,0,0
"CFAP206",5,0,0,0,19,1,10,0
"SLC35A1",800,1092,613,834,878,961,1489,1290
"RARS2",174,73,110,60,51,104,76,122
"ORC3",42,81,81,124,87,79,90,127
"AKIRIN2",857,904,780,1190,925,1335,1417,1773
"SPACA1",0,5,0,0,0,0,0,0
"CNR1",0,11,0,0,9,10,2,20
"LOC100739087",491,1681,1544,1117,913,655,1092,1444
"RNGTT",821,411,304,258,595,512,770,917
"LOC110260329",0,0,0,0,0,1,0,0
"PNRC1",2681,3104,2313,2382,4320,3092,4162,4172
"SRSF12",16,52,54,0,52,61,45,5
"PM20D2",1766,1662,1521,1473,905,1159,1485,1999
"GABRR1",6,6,0,7,0,0,0,4
"GABRR2",0,17,0,0,50,1,27,18
"UBE2J1",367,318,357,179,106,403,561,476
"RRAGD",15,24,19,0,12,24,41,52
"ANKRD6",26,35,45,0,82,51,33,85
"LYRM2",363,704,291,354,591,415,457,526
"MDN1",56,49,14,51,122,86,42,135
"CASP8AP2",64,149,88,47,17,131,147,209
"GJA10",0,15,0,7,0,7,31,12
"BACH2",37,29,5,0,0,4,5,0
"LOC110260365",0,0,0,0,0,2,0,8
"LOC102157779",0,0,0,0,0,0,11,0
"MAP3K7",654,720,365,461,534,625,738,1332
"LOC106508895",0,0,0,0,0,6,7,0
"EPHA7",144,101,25,253,94,79,51,105
"LOC106508897",0,0,0,0,0,0,0,0
"LOC110260379",0,4,0,0,29,0,0,0
"MANEA",239,302,255,206,214,418,356,482
"LOC110260380",0,0,0,0,0,3,0,0
"UFL1",153,172,52,60,103,153,89,126
"FHL5",6,42,43,0,16,6,14,12
"GPR63",47,27,19,20,22,44,70,37
"NDUFAF4",114,90,108,116,80,164,224,249
"LOC110260384",0,0,0,0,0,0,0,2
"KLHL32",46,34,86,45,11,29,33,57
"MMS22L",58,71,70,18,82,48,85,111
"LOC102160801",0,12,0,15,23,0,0,0
